WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1746120.29985 5986613.745)",110400,Cape Rodney,370.64156777,370.64156777,-36.25434473946325,174.62643249108126,1746120.2998359979,5986613.744998365,1746120.29985,5986613.745
"POINT (1736627.74825 5982495.6167)",110500,Wellsford,4.55270466,4.55270466,-36.29284857290405,174.5215278935448,1736627.7482402711,5982495.616678774,1736627.74825,5982495.6167
"POINT (1794260.71155 5984891.73515)",110600,Oceanic Auckland Region East,0,7823.26767201,-36.26137559301381,175.1623989815582,1794260.7115640999,5984891.735156614,1794260.71155,5984891.73515
"POINT (1717392.5802 5949410.54295)",110700,South Head,339.79844554,339.79844554,-36.593575216997834,174.31238695882976,1717392.5802235124,5949410.542958867,1717392.5802,5949410.54295
"POINT (1733398.35625 5963612.38325)",110800,Kaipara Hills,282.56929208,282.56929208,-36.46348264467462,174.4888161863635,1733398.3562463266,5963612.383258229,1733398.35625,5963612.38325
"POINT (1748436.78355 5976335.9143)",110900,Dome Valley-Matakana,84.74846034,84.74846034,-36.346612438071205,174.6541622807345,1748436.783528816,5976335.91427515,1748436.78355,5976335.9143
"POINT (1715555.2383 5915112.3347)",111000,Oceanic Auckland Region West,0,2384.01664203,-36.902912388647415,174.29704423357506,1715555.2382851806,5915112.334693198,1715555.2383,5915112.3347
"POINT (1748126.63355 5971645.078)",111100,Warkworth West,11.35975623,11.35975623,-36.388932330331016,174.65160072639387,1748126.63352974,5971645.0780187305,1748126.63355,5971645.078
"POINT (1745568.7705 5962856.39525)",111200,Puhoi Valley,236.54313963,236.54313963,-36.46852390341934,174.6247411522577,1745568.7704836568,5962856.395244532,1745568.7705,5962856.39525
"POINT (1749558.9784 5969805.60945)",111300,Warkworth East,4.21863212,4.21863212,-36.405286862318064,174.66791942746798,1749558.978394708,5969805.6094349995,1749558.9784,5969805.60945
"POINT (1752320.7245 5970589.7978)",111400,Sandspit,22.44555208,22.44555208,-36.39778618481965,174.69855315917545,1752320.7244950882,5970589.797788887,1752320.7245,5970589.7978
"POINT (1758936.20855 5974504.16125)",111500,Tawharanui Peninsula,46.70405234,46.70405234,-36.36144191263742,174.7714919161222,1758936.20856028,5974504.16122733,1758936.20855,5974504.16125
"POINT (1732695.86445 5948106.81475)",111600,Te Kuru,80.93238578,80.93238578,-36.603318114832994,174.4836456416143,1732695.8644554948,5948106.814735566,1732695.86445,5948106.81475
"POINT (1754664.99355 5968056.26005)",111700,Snells Beach,3.82727893,3.82727893,-36.420241894874444,174.72518872101384,1754664.9935315705,5968056.260037199,1754664.99355,5968056.26005
"POINT (1814680.52225 5991420.05055)",111800,Barrier Islands,320.40586223,320.40586223,-36.19824620489057,175.38774153400615,1814680.5222299155,5991420.050530792,1814680.52225,5991420.05055
"POINT (1756458.1688 5963931.83815)",111900,Algies Bay-Scotts Landing,15.36831152,15.36831152,-36.45711679534285,174.74601471416383,1756458.1687794905,5963931.838149196,1756458.1688,5963931.83815
"POINT (1780609.6505 5955080.7361)",112000,Inlets other Auckland,0,123.14289892,-36.53261580297626,175.0174635807174,1780609.6504846662,5955080.736112006,1780609.6505,5955080.7361
"POINT (1743388.28835 5950476.9106)",112100,Wainui-Waiwera,78.69959022,78.69959022,-36.58041191929706,174.6027128591272,1743388.2883369299,5950476.91061838,1743388.28835,5950476.9106
